"Document ID","Document Title",Categories,"Number of Views"
470074,"Module 4 &#8211; Controlling Slips, Trips and Falls","4. Training Programs, OSHA, Safety, Walking/Working Surfaces – Slips, Trips and Falls",3
38581,"Offering/Serving Bedtime Snacks Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
504424,"Accurate Completion of Social Determinants of Health &#8211; MDS Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",3
462332,"International Dysphagia Diet Standardisation Initiative","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",3
35191,"Sustainability Decision Guide","Element 4 - Performance Improvement Projects, Government Initiatives, QAPI",3
35176,"Measure/Indicator Collection and Monitoring Plan","Element 3 - Feedback, Data Systems and Monitoring, Government Initiatives, QAPI",3
35211,"Adverse Events in Skilled Nursing Facilities: National Incidence Among Medicare Beneficiaries","Government Initiatives, Miscellaneous QAPI Information, QAPI",3
27767,"F-635 Admission Physician Orders for Immediate Care","Appendix PP (F-Tags), Survey and Certification",3
22628,"CMS-10003-NDMCP Notice of Denial of Medical Coverage (English and Spanish) Form","CMS, Forms, Medicare, Regulatory Agencies",3
450710,"Oral Antidiabetics/Hypoglycemics Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",3
28044,"F-812: Manual Warewashing in a 3 Compartment Sink (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
27735,"F-572 Notice of Rights and Rules","Appendix PP (F-Tags), Survey and Certification",3
512712,"Preventive Maintenance Wheelchairs Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
512709,"Preventing Medication Errors Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
512657,"Interventions to Maintain Adequate Hydration Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
37440,"Release of Employee Information &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",3
40908,"State Agency and CMS Locations RAI/MDS Contacts","Appendices, Appendix B, MDS 3.0",3
27784,"F-661 Discharge Summary","Appendix PP (F-Tags), Survey and Certification",3
23945,"E0013 &#8211; Development of EP Policies and Procedures","Appendix Z (E-Tags), Survey and Certification",3
41451,"Measles Exposure Control Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
22495,"CDC Vaccine Abbreviations: At-A-Glance","CDC, Immunization, Regulatory Agencies",3
450664,"Antibiotics Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",3
456687,"Administrator Job Description","Human Resources, Job Descriptions, Tools and Templates",3
457783,"Urinary Tract Infection Training Presentation Pre-Post Test (Questions with Answer Key)","Bladder and Bowel, Competencies and Skills, Staff Development, Tools and Templates",3
23789,"K111 &#8211; Building Rehabilitation","K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",3
500199,"FY2024 ICD-10-CM Table of Drugs and Chemicals","Code Sets, ICD Codes, ICD-10",3
38002,"Emergency Lighting Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",3
38008,"Fire Alarm System Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",3
38725,"Document Id: 38725 (Deleted)",,3
34949,"Anti-Kickback Statute","Compliance and Ethics, Government Initiatives, Regulations",3
13051,"Disaster Evacuation Form &#8211; Resident Information","Emergency Preparedness, Evacuation Plans, Safety",3
509279,"Payroll Based Journal QTSO Registration and Training February 2022","Five Star Quality Rating System, Payroll Based Journal, Survey and Certification",3
32973,"Nursing Home Employee Satisfaction Survey","CMP Reinvestment Program, Government Initiatives, Toolkit 2",3
474418,"PDPM Rates Spreadsheet FY2023","Administrative, Financial Solutions, MDS, PDPM, Supplemental Tools, Tools and Templates",3
458010,"Bladder and Bowel Incontinence Training Presentation Handout","Bladder and Bowel, Staff Development, Tools and Templates",3
36161,"Quality Measures Action Plan Template","Administrative, Quality Measures, Tools and Templates",3
40834,"Comprehensive Care for Joint Replacement (CJR) Approved SNF List","Alternative Payment Models, Bundled Payments for Care Improvement, Financial",3
27721,"F-558 Reasonable Accommodations of Needs/Preferences","Appendix PP (F-Tags), Survey and Certification",3
466866,"Pneumonia Training Presentation Pre-Post Test (Questions with Answer Key)","Common Infections, Competencies and Skills, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",3
27848,"F-801 Qualified Dietary Staff","Appendix PP (F-Tags), Survey and Certification",3
478447,"Ergonomics for Long-Term Care Staff Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Musculoskeletal Care, Staff Development, Tools and Templates",3
23828,"K293 &#8211; Exit Signage (2012 New)","K Tags, Life Safety Code Survey, Section 2: Means of Egress Requirements, Survey and Certification",3
39702,"Module 11: Ethics and Capacity Issues","Dementia, Staff Development, Tools and Templates",3
39979,"HIPAA Privacy Rule Training Presentation Handout","HIPAA, Staff Development, Tools and Templates",3
12219,"Medicare Administrative Contractors (MACs) State by State","Billing Compliance, Financial, MAC",3
24608,"Hydration Critical Element Pathway: CMS-20092 Form","5. Investigation, Long Term Care Survey Process, Survey and Certification",3
456729,"Medication Technician/Aide Job Description","Human Resources, Job Descriptions, Tools and Templates",3
518811,"Facility Assessment Tools and Resource List","Administrative, Compliance Solutions, Facility Assessment, Tools and Templates",3
451075,"Abuse Investigative Summary","Abuse, Administrative, Risk Management, Tools and Templates",3
22578,"Tuberculosis Risk Assessment Worksheet","CDC, Regulatory Agencies, Tuberculosis",3
512472,"Activities Program Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
470381,"Traumatic Brain Injury Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Neurological Care, Staff Development, Tools and Templates",3
450733,"Disinfection of Bedpans and Urinals Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
33865,"South Carolina &#8211; Standards for Licensing Community Residential Care Facilities","Assisted Living State Regulations, South Carolina, State Regulations",3
13141,"Cold Weather Safety and Older Adults","Emergency Preparedness, Natural Hazards, Safety, Winter Storms",3
461185,"Shelter-in-Place for Winter Storm","Emergency Preparedness, Natural Hazards, Safety, Winter Storms",3
13124,"Severe Wind and Tornado Toolkit: Prepare Your Organization","Emergency Preparedness, Natural Hazards, Safety, Tornadoes",3
35089,"HIPAA Security Risk Analysis Tool","**HIPAA Security Quick Start Tool Kit, Administrative, HIPAA, HIPAA, Regulatory Agencies, Tools, Tools and Templates",3
35855,"Elevator Maintenance Documentation Form","Life Safety Code, Maintenance, Tools, Tools and Templates",3
37981,"Virus Prevention IT Policy","Information Technology, Policies and Procedures, Tools and Templates",3
40562,"Pressure Ulcer / Injury Case Study","Nursing, Pressure Injuries, Pressure Injuries, Staff Development, Tools and Templates, Training, Wound Management",3
454405,"Break Time for Nursing Mothers Poster","DOL / Human Resources, Forms &amp; Posters, Regulatory Agencies, Wage and Hour",3
33203,"PDPM Patient Classification Fact Sheet","MDS 3.0, PDPM",3
22276,"E0004 &#8211; Develop and Maintain EP Program","Appendix Z (E-Tags), Survey and Certification",3
460517,"Norovirus Infection Training Presentation","Common Infections, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",3
467399,"Supporting Your LGBTQ+ Residents Fact Sheet Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Person Centered Care, Social Services, Social Services, Staff Development, Tools and Templates, Training",3
39672,"Module 06: Understanding the Middle Stage of Dementia for the Interprofessional Team","Dementia, Staff Development, Tools and Templates",3
23961,"E0029 &#8211; Development of Communication Plan","Appendix Z (E-Tags), Survey and Certification",3
526968,"Schizophrenia and Dementia: Recognizing Differences and Overlaps","Regulatory Agencies, SAMHSA",3
38977,"Safe Patient Handling Program Checklist","5. Miscellaneous, Occupational Health and General Environmental Control, OSHA, Safety",3
39981,"HIPAA Privacy Rule Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, HIPAA, Staff Development, Tools and Templates",3
451813,"F-600: Failure to Prevent Resident to Resident Sexual Abuse (Immediate Jeopardy Removal Plan)","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",3
27779,"F-656 Develop / Implement Comprehensive Care Plan","Appendix PP (F-Tags), Survey and Certification",3
525729,"Transmittal #12980 Update to Medicare Deductible, Coinsurance, and Premium Rates for Calendar Year (CY) 2025","CMS Manuals, Financial, Transmittals, Transmittals: 100-01 Medicare General Information, Eligibility, and Entitlement Manual",3
500597,"Pregnant Workers Fairness Act (PWFA) Poster","DOL / Human Resources, EEOC, Forms &amp; Posters, Regulatory Agencies, Wage and Hour",3
455577,"Fire Safety Fact Sheet","1. Fact Sheet, Fire Protection, OSHA, Safety",3
465885,"Nurse Function Score Worksheet","Administrative, Financial Solutions, PDPM, Tools and Templates",3
27723,"F-560 Right to Refuse Certain Transfers","Appendix PP (F-Tags), Survey and Certification",3
23973,"E0041 &#8211; Hospital CAH and LTC Emergency Power","Appendix Z (E-Tags), Survey and Certification",3
27914,"F-945 Infection Control Training","Appendix PP (F-Tags), Survey and Certification",3
39738,"Diabetes &#8211; Guiding Principles for Care (Booklet)","Diabetes, Staff Development, Tools and Templates",3
456732,"Nursing Unit Manager Job Description","Human Resources, Job Descriptions, Tools and Templates",3
13229,"Subpart L: Fire Protection OSHA Regulations Part 1910","2. Regulations, Fire Protection, OSHA, Safety",3
23807,"K227 &#8211; Ramps and Other Exits","K Tags, Life Safety Code Survey, Section 2: Means of Egress Requirements, Survey and Certification",3
23824,"K281 &#8211; Illumination of Means of Egress","K Tags, Life Safety Code Survey, Section 2: Means of Egress Requirements, Survey and Certification",3
23827,"K293 &#8211; Exit Signage (2012 Existing)","K Tags, Life Safety Code Survey, Section 2: Means of Egress Requirements, Survey and Certification",3
24574,"Hospice and End of Life Care and Services Critical Element Pathway: CMS-20073 Form","3. Initial Pool Process, Long Term Care Survey Process, Survey and Certification",3
39951,"FEMA Organizational Tabletop Exercises: Customizable Hazard-Specific Scenarios","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Safety, Staff Development, Testing and Training, Testing and Training, Tools and Templates",3
35926,"Sprinkler System Inspection Log","Life Safety Code, Maintenance, Tools, Tools and Templates",3
505779,"VIS: COVID-19","CDC, Regulatory Agencies, VIS Statements",3
33030,"Skilled Nursing Facility 30-Day Potentially Preventable Readmission Measure (Summary)","Government Initiatives, Rehospitalization",2
507968,"Micro-Learn: What to Do When You See Diarrhea","CDC, Clostridioides difficile, Infection Control, Regulatory Agencies",2
481496,"Interim Guidance for Influenza Outbreak Management in Long-Term Care and Post-Acute Care Facilities","CDC, Influenza, Regulatory Agencies",2
